numero_post;url;tipo_post;titulo_o_hook;texto_resumen;imagen_url;impresiones;reacciones_totales;comentarios;compartidos;likes_loves_insightful;hashtags_principales
1;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7446103349332144130;imagen;El problema no es Obsidian. Es que lo estás usando sin IA.;Obsidian + IA para construir un wiki vivo. Conecta OpenClaw a Obsidian.;SI;82;3;0;0;3 likes;#IA #InteligenciaArtificial #Automatización #Tecnología #Obsidian #LLM
2;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7451177830123728896;imagen;Perplexity ha dejado de jugar a ser otro chatbot.;Perplexity Computer en 1 click. ¿Listos para equipos no humanos?;SI;68;5;0;1;5 likes;#IA #InteligenciaArtificial #Automatización #Tecnología #AgenticAI #Productividad
3;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7451981016212279296;imagen;El mejor ejercicio que puedes hacer con IA (y casi nadie hace);Apunta todo lo que haces y pregúntale a tu IA qué puede hacer más rápido.;SI;277;11;2;0;10 likes + 1 love;#IA #Automatización #Productividad #AgentesIA #OpenClaw
4;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7451176992470822912;imagen;Claude acaba de mover ficha.;Claude Design: de idea a prototipo visual en minutos. El salto es la velocidad.;SI;81;2;0;0;2 likes;#IA #InteligenciaArtificial #Automatización #Tecnología #Productividad #UX
5;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7445410684584054784;imagen;Obsidian + IA + automatización. Casos reales.;Claude Code/Codex + n8n + chatbots conectados a Obsidian para memoria operativa.;SI;127;7;0;1;6 likes + 1 love;#IA #InteligenciaArtificial #Automatización #n8n #PKM #Tecnología
6;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7445409963348250624;imagen;El otro día hablamos de Obsidian. Ahora vamos a ver cómo usarlo de verdad.;Obsidian + automatización con n8n. Sistema que piensa y mejora.;SI;129;;;1;#IA #InteligenciaArtificial #Automatización #n8n #PKM #Tecnología;imagen_tutorial_
7;https://www.linkedin.com/pulse/claude-mythos-el-modelo-que-quieren-uses-enrique-rodriguez-vela-vxbue;articulo;Claude Mythos: el modelo que no quieren que uses;Análisis de Claude Mythos: ventajas competitivas del modelo de Anthropic.;SI;539;;;;#IA #InteligenciaArtificial #Automatización #Tecnología #UX;articulo_analisis_
8;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7445407334484475904;imagen;Claude Cowork;Claude Cowork: nueva funcionalidad de Anthropic para trabajo colaborativo con IA.;SI;191;;;;#IA #InteligenciaArtificial #Automatización #Tecnología #Productividad;imagen_noticia_
10;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7445768752132124672;imagen;Gemma 4;Gemma 4 de Google. Análisis de capacidades del nuevo modelo.;SI;195;;;;#IA #InteligenciaArtificial #Automatización #Tecnología #GoogleAI;imagen_noticia_
11;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7444326160890679296;imagen;Empresas de agentes IA;¿Prefieres empresas de equipos o de agentes?;SI;134;;;;#IA #InteligenciaArtificial #AgentesIA #Automatización #Tecnología;imagen_opinion_
12;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7440740958985437184;repost_imagen;Llevábamos tiempo trabajando en esto - Biavent x Racks Academy;Biavent x Racks Academy. Esto empieza ahora.;SI;;13+;0;2;#Bivent #networking #eventos #startup #tecnologia;repost_evento_
13;https://www.linkedin.com/posts/enrique-rodriguez-vela_repost_biavent;repost_imagen;Llevamos bastante tiempo trabajando en algo - Biavent;hace 1 mes. Evento el sábado.;SI;;9+;0;2;#Evento #Networking #Innovacion #Tecnologia #Madrid #Startups #IA #Emprendimiento;repost_evento_
14;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7440740958985437184;imagen;Así empezó Biavent;Orígenes del proyecto Biavent. Landing en biavent.com.;SI;216;4;;;#Biavent;imagen_presentacion_
15;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7439317069092798464;imagen;La semana pasada estuve en dos eventos muy distintos en Madrid;n8n + Madrid Economic Forum + Biavent post-evento. Networking y app de eventos.;SI;623;;1;3;#IA #InteligenciaArtificial #Automatización #Tecnología #Networking #Eventos;imagen_resumen_
16;https://www.linkedin.com/posts/enrique-rodriguez-vela_repost_biavent;repost_imagen;La mayoría de apps de eventos funcionan como un simple calendario;Biavent está pensado para que asistentes descubran eventos y conecten.;SI;;6+;0;2;#Bivent #Networking #Eventos #Startup #Tecnologia;repost_info_
17;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7437505158869188608;articulo;Claude Code vs OpenAI Codex. Guía definitiva.;Análisis comparativo Claude Code vs Codex. Enlace a artículo y newsletter.;SI;411;6;;;#IA #InteligenciaArtificial #Automatización #Tecnología #AIcoding;articulo_comparativa_
18;https://www.linkedin.com/posts/enrique-rodriguez-vela_repost_biavent;repost_imagen;Los eventos tienen un problema - Biavent nace para cambiar eso;Los eventos acaban al salir del recinto. Biavent cambia eso.;SI;;;;5;#Bivent #Networking #Eventos #Startup;repost_info_
19;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7434953353354190849;imagen;Hace un año competíamos por escribir mejores prompts. Hoy por diseñar sistemas.;¿Estás diseñando pensando en agentes o todavía en chats?;SI;325;7;;;#IA #InteligenciaArtificial #AgentesIA #Automatización #SaaS;imagen_opinion_
20;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7432424458432229378;imagen;2026 es el año en el que desarrollar se volvió adictivo.;Idea -> ChatGPT -> Lovable/Cursor/Codex. Eso cambia las reglas del juego.;SI;207;;1;;#IA #InteligenciaArtificial #Automatización #Tecnología #Desarrollo #Productividad;imagen_opinion_
21;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7431706926264066048;imagen;Tendencias en IA en 2026;Análisis de tendencias de IA para 2026. Enlace a artículo.;SI;311;8;1;1;#IA #InteligenciaArtificial #Automatización #Tecnología #AgenticAI;imagen_analisis_
22;https://www.linkedin.com/posts/enrique-rodriguez-vela_newsletter;articulo;Modelos de razonamiento en 2026;Análisis sobre modelos de razonamiento. Newsletter Mantente al día con la IA.;SI;237;;;;#IA #InteligenciaArtificial #Automatización;articulo_analisis_
23;https://www.linkedin.com/posts/enrique-rodriguez-vela_activity-7429921411021824000;imagen;El problema de la IA ya no es el chip. Es dónde lo enchufas.;Análisis de data centers y jugadores: Microsoft, OpenAI, xAI, Meta, Google, Amazon.;SI;174;1;1;;#IA #InteligenciaArtificial #Automatización #Tecnología #DataCenters;imagen_analisis_
